"You have cancelled your Clearpay payment. Please select an alternative payment method.","You have cancelled your Clearpay payment. Please select an alternative payment method."
"Clearpay payment declined. Please select an alternative payment method.","Clearpay payment declined. Please select an alternative payment method."
"Authorization date expired","Authorization date expired"
"Clearpay payment method is not active","Clearpay payment method is not active"
"Clearpay Transaction Completed","Clearpay Transaction Completed"
"There was a problem placing your order. Your Clearpay order %1 is refunded.","There was a problem placing your order. Your Clearpay order %1 is refunded."
"4 interest-free installments of","4 interest-free installments of"
"4 interest-free instalments of","4 interest-free instalments of"
"Four interest-free payments totalling","Four interest-free payments totalling"
"Continue to Clearpay","Continue to Clearpay"
"First payment","First payment"
"You will be redirected to the Clearpay website to fill out your payment information. You will be redirected back to our site to complete your order.","You will be redirected to the Clearpay website to fill out your payment information. You will be redirected back to our site to complete your order."
"You will be redirected to the Clearpay website when you proceed to checkout.","You will be redirected to the Clearpay website when you proceed to checkout."
"Shipping is unavailable for this address, or all options exceed Clearpay order limit.","Shipping is unavailable for this address, or all options exceed Clearpay order limit."
"You have cancelled your Clearpay payment.","You have cancelled your Clearpay payment."
"Payment is failed","Payment is failed"
"There are issues when processing your payment. Invalid Amount","There are issues when processing your payment. Invalid Amount"
"There are issues when processing your payment. Invalid Cart Items","There are issues when processing your payment. Invalid Cart Items"
"Order amount exceed Clearpay order limit.","Order amount exceed Clearpay order limit."
"No clearpay token provided!","No clearpay token provided!"
"Clearpay merchant configuration fetching is failed. Wrong credentials.","Clearpay merchant configuration fetching is failed. Wrong credentials."
"Clearpay merchant configuration fetching is failed. See logs.","Clearpay merchant configuration fetching is failed. See logs."
"Clearpay merchant configuration fetching is success.","Clearpay merchant configuration fetching is success."
"Unable to fetch Clearpay merchant configuration due to unsupported merchant country. Supported countries: GB.","Unable to fetch Clearpay merchant configuration due to unsupported merchant country. Supported countries: GB."
"Unable to fetch Clearpay merchant configuration due to unsupported merchant currency. Supported countries: %1.","Unable to fetch Clearpay merchant configuration due to unsupported merchant currency. Supported countries: %1."
"Update Merchant Configuration","Update Merchant Configuration"
Update limit configuration and specific countries from Clearpay API.,Update limit configuration and specific countries from Clearpay API.
"https://www.clearpay.co.uk/en-GB/terms-of-service","https://www.clearpay.co.uk/en-GB/terms-of-service"
"Terms & Conditions","Terms & Conditions"
"Clearpay response error: Code: %1, Id: %2","Clearpay response error: Code: %1, Id: %2"
