"You have cancelled your Clearpay payment. Please select an alternative payment method.","Hai annullato il pagamento Clearpay. Seleziona un metodo di pagamento alternativo."
"Clearpay payment declined. Please select an alternative payment method.","Pagamento Clearpay rifiutato. Seleziona un metodo di pagamento alternativo."
"Authorization date expired","Authorization date expired"
"Clearpay payment method is not active","Clearpay payment method is not active"
"Clearpay Transaction Completed","Clearpay Transaction Completed"
"There was a problem placing your order. Your Clearpay order %1 is refunded.","There was a problem placing your order. Your Clearpay order %1 is refunded."
"4 interest-free installments of","3 interest-free installments of"
"4 interest-free instalments of","3 interest-free instalments of"
"Four interest-free payments totalling","Tre pagamenti senza interessi per un totale"
"Continue to Clearpay","Continua su Clearpay"
"First payment","Prima rata"
"You will be redirected to the Clearpay website to fill out your payment information. You will be redirected back to our site to complete your order.","You will be redirected to the Clearpay website to fill out your payment information. You will be redirected back to our site to complete your order."
"You will be redirected to the Clearpay website when you proceed to checkout.","Verrai reindirizzato al sito web di Clearpay quando procederai al checkout." Cuando avance en el checkout"
"Shipping is unavailable for this address, or all options exceed Clearpay order limit.","Shipping is unavailable for this address, or all options exceed Clearpay order limit."
"You have cancelled your Clearpay payment.","You have cancelled your Clearpay payment."
"Payment is failed","Payment is failed"
"There are issues when processing your payment. Invalid Amount","Ci sono problemi durante l'elaborazione del pagamento. Importo non valido"
"There are issues when processing your payment. Invalid Cart Items","There are issues when processing your payment. Invalid Cart Items"
"Order amount exceed Clearpay order limit.","Order amount exceed Clearpay order limit."
"No Clearpay token provided!","No Clearpay token provided!"
"Clearpay merchant configuration fetching is failed. Wrong credentials.","Clearpay merchant configuration fetching is failed. Wrong credentials."
"Clearpay merchant configuration fetching is failed. See logs.","Clearpay merchant configuration fetching is failed. See logs."
"Clearpay merchant configuration fetching is success.","Clearpay merchant configuration fetching is success."
"Unable to fetch Clearpay merchant configuration due to unsupported merchant country. Supported countries: GB.","Unable to fetch Clearpay merchant configuration due to unsupported merchant country. Supported countries: GB."
"Update Merchant Configuration","Update Merchant Configuration"
"Update limit configuration and specific countries from Clearpay API.","Update limit configuration and specific countries from Clearpay API."
"https://www.clearpay.co.uk/en-GB/terms-of-service","https://www.clearpay.com/it-IT/terms"
"Terms & Conditions","Termini & Condizioni"
"2 weeks later","dopo 2 settimane"
"4 weeks later","dopo 4 settimane"
"6 weeks later","dopo 6 settimane"
